Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 15 Jan 2024, at 03:16 AM, a car collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 27 Feb 2024, at 08:15 AM, a car collided with a car at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 19 Feb 2024, at 08:07 PM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. Two-wheeler rider not wearing a helmet",Seatbelt Violation,Helmet Violation,Moderate
"On 11 Feb 2024, at 03:55 PM, a auto-rickshaw collided with a car at MG Road, Bangalore. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,High
"On 08 Feb 2024, at 12:10 AM, a two-wheeler collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 01 Mar 2024, at 01:26 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 28 Feb 2024, at 08:06 AM, a auto-rickshaw collided with a auto-rickshaw at NH66 near Trivandrum. Over speeding and reckless maneuvering. Two-wheeler rider not wearing a helmet",Rash Driving,Helmet Violation,Moderate
"On 25 Feb 2024, at 11:21 AM, a car collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 06 Feb 2024, at 07:44 PM, a truck collided with a bus at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 11 Feb 2024, at 08:14 PM, a truck collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 01 Mar 2024, at 04:51 AM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 23 Feb 2024, at 12:14 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 10 Feb 2024, at 09:24 AM, a two-wheeler collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 14 Feb 2024, at 08:07 AM, a truck collided with a car at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 17 Feb 2024, at 05:43 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 15 Jan 2024, at 07:29 AM, a bus collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 24 Feb 2024, at 09:46 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 08 Jan 2024, at 03:34 PM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 13 Feb 2024, at 11:01 PM, a two-wheeler collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 02 Jan 2024, at 04:59 PM, a car collided with a bus at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 28 Jan 2024, at 09:38 PM, a bus collided with a truck at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 29 Feb 2024, at 08:02 PM, a auto-rickshaw collided with a car at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Two-wheeler rider not wearing a helmet",Signal Violation,Helmet Violation,High
"On 21 Jan 2024, at 07:12 PM, a bus collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 02 Jan 2024, at 06:34 PM, a auto-rickshaw collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Jaywalking or crossing in unsafe zones",Seatbelt Violation,Pedestrian Negligence,Moderate
"On 01 Mar 2024, at 02:27 PM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,High
"On 04 Jan 2024, at 05:21 AM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 26 Jan 2024, at 10:32 AM, a bus collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,High
"On 09 Feb 2024, at 02:21 PM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,High
"On 18 Jan 2024, at 08:07 PM, a bus collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. Potholes, construction work, or lack of signs",Drunk Driving,Road Conditions,Moderate
"On 29 Feb 2024, at 03:36 AM, a bus collided with a car at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,High
"On 30 Jan 2024, at 08:23 PM, a car collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 15 Jan 2024, at 10:13 PM, a car collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. Car passengers not wearing seatbelts",Seatbelt Violation,Seatbelt Violation,High
"On 03 Feb 2024, at 06:15 PM, a truck collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 03 Feb 2024, at 05:08 PM, a two-wheeler collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 26 Jan 2024, at 12:16 AM, a truck collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 08 Jan 2024, at 08:56 PM, a two-wheeler collided with a bus at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,Moderate
"On 30 Jan 2024, at 09:16 PM, a bus collided with a truck at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 16 Feb 2024, at 02:16 AM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 26 Feb 2024, at 12:24 PM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 05 Jan 2024, at 01:09 AM, a truck collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 07 Feb 2024, at 05:50 PM, a truck collided with a car at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 06 Feb 2024, at 03:02 PM, a bus collided with a car at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 17 Jan 2024, at 03:36 PM, a truck collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Potholes, construction work, or lack of signs",Road Conditions,Road Conditions,High
"On 10 Feb 2024, at 07:39 AM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,Moderate
"On 14 Jan 2024, at 08:58 PM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 09 Jan 2024, at 08:33 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 01 Jan 2024, at 09:40 AM, a truck collided with a car at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,Moderate
"On 07 Jan 2024, at 03:25 AM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 31 Jan 2024, at 07:43 AM, a two-wheeler collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,Moderate
"On 27 Jan 2024, at 04:54 PM, a truck collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,High
"On 09 Jan 2024, at 10:22 PM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 21 Jan 2024, at 10:21 PM, a bus collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,Moderate
"On 05 Feb 2024, at 04:19 PM, a bus collided with a truck at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 29 Jan 2024, at 07:45 PM, a car collided with a truck at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 14 Feb 2024, at 09:16 AM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 01 Jan 2024, at 03:55 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 02 Jan 2024, at 03:00 AM, a car collided with a bus at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 31 Jan 2024, at 11:45 AM, a bus collided with a car at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,High
"On 04 Jan 2024, at 12:50 PM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,Moderate
"On 17 Feb 2024, at 09:38 AM, a truck collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 26 Feb 2024, at 12:21 AM, a truck collided with a truck at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,High
"On 10 Jan 2024, at 08:34 AM, a car collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,Moderate
"On 29 Jan 2024, at 02:28 AM, a bus collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 03 Feb 2024, at 05:10 PM, a car collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,Moderate
"On 12 Jan 2024, at 10:59 AM, a auto-rickshaw collided with a car at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 02 Jan 2024, at 10:03 PM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 13 Jan 2024, at 01:36 PM, a auto-rickshaw collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Car passengers not wearing seatbelts",Pedestrian Negligence,Seatbelt Violation,Moderate
"On 18 Feb 2024, at 05:39 PM, a truck collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 24 Feb 2024, at 12:59 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,High
"On 04 Feb 2024, at 12:02 PM, a auto-rickshaw collided with a truck at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 03 Jan 2024, at 02:53 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,Moderate
"On 28 Feb 2024, at 12:06 PM, a bus collided with a auto-rickshaw at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,Moderate
"On 01 Feb 2024, at 11:37 PM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,High
"On 14 Feb 2024, at 06:44 PM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 23 Feb 2024, at 12:20 PM, a car collided with a truck at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,Moderate
"On 01 Jan 2024, at 03:26 AM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Potholes, construction work, or lack of signs",Signal Violation,Road Conditions,Moderate
"On 18 Jan 2024, at 02:07 PM, a bus collided with a truck at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 20 Jan 2024, at 03:45 PM, a bus collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 21 Jan 2024, at 08:51 AM, a truck collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Jumping red lights or ignoring stop signs",Weather Issues,Signal Violation,Moderate
"On 12 Jan 2024, at 01:21 PM, a two-wheeler collided with a truck at NH66 near Trivandrum. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,High
"On 28 Feb 2024, at 01:35 AM, a car collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 17 Jan 2024, at 06:18 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 25 Jan 2024, at 05:09 AM, a bus collided with a truck at NH66 near Trivandrum. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,High
"On 16 Jan 2024, at 12:43 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,High
"On 24 Feb 2024, at 12:51 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,Moderate
"On 20 Feb 2024, at 09:17 PM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,Moderate
"On 24 Feb 2024, at 10:02 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 18 Feb 2024, at 03:48 PM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 06 Feb 2024, at 07:55 AM, a truck collided with a auto-rickshaw at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 01 Feb 2024, at 12:27 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,Moderate
